ID,SeedRowName,PlantRowName,GrouwthHealth,Season,MinHarvestAmount,MaxHarvestAmount,KeepHarvestable,DisplayName
Seed_Strawberry,Seed_Strawberry,Crops_Strawberry,8.000000,Spring,3,5,True,Strawberry
Seed_Blueberry,Seed_Blueberry,Crops_Blueberry,7.000000,Summer,3,5,True,Blueberry
Seed_Grape,Seed_Grape,Crops_Grape,9.000000,Fall,3,5,True,Grape
Seed_Galic,Seed_Galic,Crops_Galic,4.000000,Spring,1,5,False,
Seed_Potato,Seed_Potato,Crops_Potato,14.000000,Spring,1,3,False,Potato
Seed_ChiliPepper,Seed_ChiliPepper,Crops_ChiliPepper,7.000000,Summer,1,3,False,Chili Pepper
Seed_Corn,Seed_Corn,Crops_Corn,14.000000,Summer,1,3,False,Corn
Seed_Eggplant,Seed_Eggplant,Crops_Eggplant,7.000000,Fall,1,3,False,Eggplant
Seed_Pumpkin,Seed_Pumpkin,Crops_Pumpkin,14.000000,Fall,1,3,False,Pumpkin
Seed_Tulip,Seed_Tulip,Crops_Tulip,10.000000,Spring,1,1,False,Tulip
Seed_Sunflower,Seed_Sunflower,Crops_Sunflower,10.000000,Summer,1,1,False,Sunflower
Seed_Rose,Seed_Rose,Crops_Rose,10.000000,Fall,1,1,False,Rose
